vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Farm Co-op,No Tax,REF-3797,True,Someone painted the barn plaid again.,Weekly payroll distribution,56495,Payment,114.86,2025-07-14 14:09:00,0.0,CHK-2135,1143.69,114.86,Sales - Value-Added Goods,4100,folder,🐔
Johnny's Seeds,Sales Tax,REF-2304,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,97607,Tax,0.0,2025-07-14 07:55:00,737.4,,1969.89,737.4,Fuel,5300,tray,💼
Zappa Solar,No Tax,REF-8168,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,92079,Payroll,1166.73,2025-07-14 18:56:00,0.0,,3672.51,1166.73,Depreciation,6000,calendar,🛠
USDA,Use Tax,REF-1169,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,36674,Payroll,0.0,2025-07-14 09:19:00,606.85,,1957.39,606.85,Insurance,5900,wrench,🧾
Tractor Depot,Sales Tax,REF-1773,False,Someone painted the barn plaid again.,Tractor repair service,19448,Tax,343.74,2025-07-14 14:18:00,0.0,,3420.12,343.74,Insurance,5900,gear,🌽
USDA,No Tax,REF-7320,True,Billy the Mountain requested cash.,Weekly payroll distribution,76949,Expense,1029.46,2025-07-14 16:45:00,0.0,CHK-5131,4950.7,1029.46,Insurance,5900,bag,💼
Johnny's Seeds,No Tax,REF-3614,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,39297,Tax,360.58,2025-07-14 08:39:00,0.0,,3492.53,360.58,Insurance,5900,dollarsign.circle,🥕
Zappa Solar,Sales Tax,REF-9353,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,35919,Tax,685.29,2025-07-14 15:18:00,0.0,CHK-1242,2750.12,685.29,Cost of Goods Sold,5000,externaldrive,📦
Johnny's Seeds,Use Tax,REF-6287,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,75290,Tax,1130.58,2025-07-14 13:42:00,0.0,CHK-5635,4277.15,1130.58,Fuel,5300,bag,🛠
Tractor Depot,Sales Tax,REF-4816,True,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,29877,Expense,0.0,2025-07-14 16:29:00,1001.19,,2136.23,1001.19,Insurance,5900,tractor,🪣
Tractor Depot,Use Tax,REF-1756,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,29828,Invoice,0.0,2025-07-14 15:12:00,1013.57,,3458.68,1013.57,Taxes Payable,2200,hammer,🐝
Zappa Solar,Use Tax,REF-3461,True,Billy the Mountain requested cash.,Tractor repair service,78866,Equity Contribution,0.0,2025-07-14 10:39:00,347.31,CHK-9039,1373.55,347.31,Wages Payable,2100,externaldrive,🌱
Johnny's Seeds,Use Tax,REF-6273,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,62125,Expense,0.0,2025-07-14 16:43:00,337.91,CHK-9498,2076.23,337.91,Sales - Value-Added Goods,4100,cart,🐔
Compost Collective,Sales Tax,REF-1629,True,Beware of the Central Scrutinizer.,Tractor repair service,49323,Payment,0.0,2025-07-14 08:23:00,549.72,,4511.01,549.72,Owner's Equity,3000,tray,🏡
Muffin Utility Inc.,Sales Tax,REF-7346,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,22502,Invoice,1177.99,2025-07-14 16:51:00,0.0,CHK-2959,4887.78,1177.99,Cost of Goods Sold,5000,cart,🚜
