propertyId,fieldId,fieldName,fieldDisplayName,acreage,soilType,drainageClass,slopePercentage,primaryCrop,secondaryCrop,irrigationMethod,fencingType,notes,organic,lastTillage,lastPlanting,lastHarvest
1,101,"Field A1","North Field Alpha",12.5,"Loamy clay","Well drained",2.5,"Tomatoes","Lettuce","Drip irrigation","Wire mesh","Primary tomato production field",true,"2024-03-15","2024-04-20","2024-08-15"
1,102,"Field A2","North Field Beta",15.3,"Loamy clay","Moderately drained",1.8,"Carrots","Onions","Sprinkler","Post and rail","Root vegetable rotation",true,"2024-03-20","2024-04-25","2024-09-10"
1,103,"Field A3","North Field Gamma",18.7,"Clay loam","Well drained",3.2,"Broccoli","Cabbage","Drip irrigation","Electric fence","Brassica specialist field",true,"2024-04-01","2024-05-10","2024-08-25"
1,104,"Field A4","North Field Delta",22.1,"Sandy loam","Somewhat poor",1.5,"Lettuce","Spinach","Overhead sprinkler","None","Leafy greens production",true,"2024-04-10","2024-05-15","2024-07-30"
1,105,"Field A5","North Pasture","North Pasture Area",16.6,"Mixed soil","Variable",5.0,"Pasture grass","Clover","None","Barbed wire","Livestock grazing area",false,"2023-09-15","2024-03-20",""
2,201,"Field B1","South Field Alpha",14.2,"Sandy loam","Well drained",2.8,"Potatoes","Beets","Furrow irrigation","Post and rail","Underground crop specialist",true,"2024-03-25","2024-05-01","2024-09-15"
2,202,"Field B2","South Field Beta",19.8,"Clay","Poorly drained",1.2,"Rice","","Flood irrigation","None","Wetland rice production",false,"2024-02-15","2024-04-15","2024-10-01"
2,203,"Field B3","South Field Gamma",16.4,"Loam","Well drained",2.1,"Corn","Beans","Center pivot","Wire mesh","Grain production field",true,"2024-04-05","2024-05-20","2024-09-25"
2,204,"Field B4","South Field Delta",12.0,"Sandy clay","Moderately drained",3.5,"Squash","Pumpkins","Drip irrigation","Electric fence","Cucurbit family crops",true,"2024-04-15","2024-06-01","2024-10-15"
2,205,"Field B5","South Woodlot","South Woodland","South Wooded Area",10.0,"Forest soil","Variable",8.0,"Trees","","None","Natural boundary","Timber and wildlife habitat",false,"","",""
3,301,"Field C1","East Field Alpha",11.3,"Clay loam","Well drained",1.9,"Peppers","Eggplant","Micro-sprinkler","Post and rail","Nightshade crop rotation",true,"2024-03-30","2024-05-25","2024-09-05"
3,302,"Field C2","East Field Beta",8.7,"Sandy loam","Somewhat excessive",4.2,"Herbs","Flowers","Hand watering","Decorative fence","Specialty and value-added crops",true,"2024-04-20","2024-06-10","2024-08-20"
3,303,"Field C3","East Field Gamma",13.5,"Loam","Well drained",2.3,"Melons","Watermelons","Drip irrigation","Wire mesh","Vine crop production",true,"2024-05-01","2024-06-15","2024-09-30"
3,304,"Field C4","East Field Delta",7.8,"Clay","Moderately drained",1.6,"Celery","Fennel","Overhead irrigation","None","Wet crop specialist field",true,"2024-04-25","2024-06-20","2024-10-05"
3,305,"Field C5","East Greenhouse","East Greenhouse Complex",4.5,"Greenhouse media","Controlled",0.0,"Seedlings","Starts","Automated system","Building","Propagation and nursery",true,"2024-01-15","2024-02-01","2024-12-31"
4,401,"GH Complex A","Greenhouse Section A",2.0,"Soilless media","Excellent",0.0,"Tomatoes","Cucumbers","Hydroponic","Building walls","High-tech greenhouse production",true,"","2024-01-01","2024-12-31"
4,402,"GH Complex B","Greenhouse Section B",2.5,"Soilless media","Excellent",0.0,"Lettuce","Herbs","NFT system","Building walls","Leafy green hydroponics",true,"","2024-01-01","2024-12-31"
4,403,"GH Complex C","Greenhouse Section C",1.8,"Soilless media","Excellent",0.0,"Peppers","Eggplant","Deep water culture","Building walls","Fruiting crop hydroponics",true,"","2024-01-01","2024-12-31"
4,404,"GH Complex D","Greenhouse Section D",1.2,"Potting mix","Excellent",0.0,"Seedlings","Starts","Drip irrigation","Building walls","Propagation greenhouse",true,"","2024-01-01","2024-12-31"
4,405,"GH Storage","Greenhouse Storage","Greenhouse Storage Area",5.0,"Concrete","N/A",0.0,"Storage","Equipment","None","Building walls","Equipment and supply storage",false,"","",""
5,501,"Research Plot 1","Variety Trial Plot 1",2.3,"Various","Well drained",2.0,"Test varieties","","Experimental","Temporary fence","Cultivar performance trials",false,"2024-04-01","2024-05-01","2024-10-01"
5,502,"Research Plot 2","Variety Trial Plot 2",3.1,"Various","Well drained",2.5,"Test varieties","","Experimental","Temporary fence","Breeding program trials",false,"2024-04-05","2024-05-05","2024-10-05"
5,503,"Research Plot 3","Soil Amendment Trial",4.5,"Various","Various",3.0,"Various crops","","Test methods","Temporary fence","Soil fertility research",false,"2024-03-15","2024-04-15","2024-09-15"
5,504,"Research Plot 4","IPM Research Area",2.8,"Loam","Well drained",1.8,"Various crops","","Standard","Temporary fence","Integrated pest management research",false,"2024-04-10","2024-05-15","2024-09-20"
5,505,"Research Plot 5","Climate Study Plot",5.6,"Mixed","Well drained",2.2,"Various crops","","Climate controlled","Temporary fence","Climate adaptation research",false,"2024-03-20","2024-04-20","2024-09-25"
